sic_codes,type,registered_office_address,last_full_members_list_date,accounts,company_name,jurisdiction,company_number,has_been_liquidated,date_of_creation,undeliverable_registered_office_address,status,has_insolvency_history,etag,has_charges,company_status,previous_company_names,confirmation_statement,links,registered_office_is_in_dispute,has_super_secure_pscs,can_file,date_of_cessation,annual_return,company_status_detail
"['11020', '11030']",ltd,"{'locality': 'Winchester', 'postal_code': 'SO23 9SR', 'address_line_1': '9 Christchurch Road'}",2016-06-20,"{'last_accounts': {'period_start_on': '2021-07-01', 'made_up_to': '2022-06-30', 'type': 'micro-entity', 'period_end_on': '2022-06-30'}, 'next_due': '2024-03-31', 'next_accounts': {'period_start_on': '2022-07-01', 'due_on': '2024-03-31', 'overdue': False, 'period_end_on': '2023-06-30'}, 'accounting_reference_date': {'month': '06', 'day': '30'}, 'next_made_up_to': '2023-06-30', 'overdue': False}",HAMPSHIRE DOWNS FINE CIDER COMPANY LTD,england-wales,08577353,False,2013-06-20,False,active,False,4df2727465d94f886aabbeba846ea0ddbc7e3691,False,active,,"{'next_due': '2024-06-24', 'next_made_up_to': '2024-06-10', 'overdue': False, 'last_made_up_to': '2023-06-10'}","{'self': '/company/08577353', 'filing_history': '/company/08577353/filing-history', 'officers': '/company/08577353/officers', 'persons_with_significant_control': '/company/08577353/persons-with-significant-control'}",False,False,True,,,
['11030'],ltd,"{'address_line_1': 'The Old Kennels Farm', 'postal_code': 'HR8 1LG', 'region': 'Herefordshire', 'address_line_2': 'Bromyard Road', 'locality': 'Ledbury'}",2015-09-17,"{'next_due': '2023-12-31', 'accounting_reference_date': {'month': '03', 'day': '31'}, 'next_accounts': {'due_on': '2023-12-31', 'period_start_on': '2022-04-01', 'period_end_on': '2023-03-31', 'overdue': False}, 'next_made_up_to': '2023-03-31', 'overdue': False, 'last_accounts': {'period_end_on': '2022-03-31', 'period_start_on': '2021-04-01', 'type': 'total-exemption-full', 'made_up_to': '2022-03-31'}}",THE LEDBURY CIDER AND JUICE CO. LIMITED,england-wales,08694489,False,2013-09-17,False,active,False,8efcdf7c32398b0fe0991f2dc14d3e374465cf4d,True,active,,"{'last_made_up_to': '2023-09-17', 'next_made_up_to': '2024-09-17', 'overdue': False, 'next_due': '2024-10-01'}","{'self': '/company/08694489', 'filing_history': '/company/08694489/filing-history', 'officers': '/company/08694489/officers', 'charges': '/company/08694489/charges', 'persons_with_significant_control': '/company/08694489/persons-with-significant-control'}",False,False,True,,,
['11030'],ltd,"{'address_line_1': 'Norton Barton Farm', 'postal_code': 'EX23 9LG', 'locality': 'Bude', 'region': 'Cornwall', 'address_line_2': 'Launcells'}",2016-05-22,"{'next_made_up_to': '2023-09-30', 'last_accounts': {'period_start_on': '2021-10-01', 'made_up_to': '2022-09-30', 'type': 'total-exemption-full', 'period_end_on': '2022-09-30'}, 'overdue': False, 'next_due': '2024-06-30', 'next_accounts': {'due_on': '2024-06-30', 'overdue': False, 'period_end_on': '2023-09-30', 'period_start_on': '2022-10-01'}, 'accounting_reference_date': {'month': '09', 'day': '30'}}",NORTH COAST CIDER COMPANY LIMITED,england-wales,08710743,False,2013-09-30,False,active,False,e3968bc01323d2f5e08fd8086b84cf11524adff9,False,active,,"{'overdue': False, 'next_due': '2024-04-10', 'last_made_up_to': '2023-03-27', 'next_made_up_to': '2024-03-27'}","{'self': '/company/08710743', 'filing_history': '/company/08710743/filing-history', 'officers': '/company/08710743/officers', 'persons_with_significant_control': '/company/08710743/persons-with-significant-control'}",False,False,True,,,
['11030'],ltd,"{'address_line_1': '19 York Place', 'region': 'Worcestershire', 'locality': 'Worcester', 'postal_code': 'WR1 3DR'}",2015-10-01,"{'accounting_reference_date': {'month': '03', 'day': '31'}, 'last_accounts': {'made_up_to': '2020-03-31', 'type': 'dormant', 'period_end_on': '2020-03-31'}}",BARBOURNE PERRY LIMITED,england-wales,08712084,False,2013-10-01,False,active,False,84f7a4161ea3faafda845951c023b01c271b6c86,False,dissolved,,,"{'self': '/company/08712084', 'filing_history': '/company/08712084/filing-history', 'officers': '/company/08712084/officers', 'persons_with_significant_control': '/company/08712084/persons-with-significant-control'}",False,False,False,2022-01-11,,
['11030'],ltd,"{'locality': 'Gunnislake', 'region': 'Cornwall', 'address_line_2': 'Latchley', 'postal_code': 'PL18 9AX', 'country': 'United Kingdom', 'address_line_1': 'April Sunset April Sunset'}",2015-10-22,"{'next_accounts': {'overdue': False, 'due_on': '2025-04-30', 'period_end_on': '2024-07-31', 'period_start_on': '2023-02-01'}, 'next_made_up_to': '2024-07-31', 'last_accounts': {'period_end_on': '2023-01-31', 'period_start_on': '2022-02-01', 'made_up_to': '2023-01-31', 'type': 'micro-entity'}, 'accounting_reference_date': {'month': '07', 'day': '31'}, 'overdue': False, 'next_due': '2025-04-30'}",CORNWALL CIDER CO. LIMITED,england-wales,08743140,False,2013-10-22,False,active,False,ed7ae60243be47c0acc994fe8ce35f6ad9b5500e,False,active,,"{'next_due': '2024-06-03', 'overdue': False, 'next_made_up_to': '2024-05-20', 'last_made_up_to': '2023-05-20'}","{'self': '/company/08743140', 'filing_history': '/company/08743140/filing-history', 'officers': '/company/08743140/officers', 'persons_with_significant_control': '/company/08743140/persons-with-significant-control', 'registers': '/company/08743140/registers'}",False,False,True,,,
['11030'],ltd,"{'address_line_1': 'Windover The Street', 'locality': 'Polegate', 'region': 'East Sussex', 'country': 'England', 'postal_code': 'BN26 6TY', 'address_line_2': 'Selmeston'}",2016-04-03,"{'last_accounts': {'type': 'micro-entity', 'made_up_to': '2018-04-30', 'period_end_on': '2018-04-30'}, 'accounting_reference_date': {'month': '04', 'day': '30'}}",THE SUSSEX SOUTH DOWNS COMPANY LTD,england-wales,08977019,False,2014-04-03,False,active,False,f876c9d2837c5d8a67eb2f78e4d237a832ed57c3,False,dissolved,,,"{'self': '/company/08977019', 'filing_history': '/company/08977019/filing-history', 'officers': '/company/08977019/officers', 'persons_with_significant_control': '/company/08977019/persons-with-significant-control'}",False,,False,2020-01-28,,
"['01240', '01460', '11030', '62090']",ltd,"{'region': 'Cheshire', 'address_line_1': '62 Well Street', 'locality': 'Malpas', 'postal_code': 'SY14 8QH'}",2016-06-19,"{'next_made_up_to': '2023-06-30', 'last_accounts': {'made_up_to': '2022-06-30', 'period_start_on': '2021-07-01', 'period_end_on': '2022-06-30', 'type': 'micro-entity'}, 'next_due': '2024-03-31', 'overdue': False, 'accounting_reference_date': {'month': '06', 'day': '30'}, 'next_accounts': {'period_start_on': '2022-07-01', 'overdue': False, 'due_on': '2024-03-31', 'period_end_on': '2023-06-30'}}",OLD CHADS ORCHARD LTD,england-wales,09093644,False,2014-06-19,False,,False,6ac4501fb5662498b70ec758cefe9fa3fc5fe0f7,False,active,,"{'last_made_up_to': '2023-06-19', 'next_made_up_to': '2024-06-19', 'overdue': False, 'next_due': '2024-07-03'}","{'self': '/company/09093644', 'filing_history': '/company/09093644/filing-history', 'officers': '/company/09093644/officers', 'persons_with_significant_control': '/company/09093644/persons-with-significant-control'}",False,False,True,,,
"['11030', '11040', '11050', '11070']",ltd,"{'locality': 'Warrington', 'address_line_2': 'Burtonwood', 'postal_code': 'WA5 4TH', 'region': 'Cheshire', 'address_line_1': 'Bold Lane'}",2016-06-28,"{'next_made_up_to': '2023-09-30', 'next_due': '2024-06-30', 'last_accounts': {'made_up_to': '2022-09-30', 'period_end_on': '2022-09-30', 'type': 'full', 'period_start_on': '2021-10-01'}, 'accounting_reference_date': {'day': '30', 'month': '09'}, 'overdue': False, 'next_accounts': {'overdue': False, 'period_end_on': '2023-09-30', 'period_start_on': '2022-10-01', 'due_on': '2024-06-30'}}",THOMAS HARDY BURTONWOOD LIMITED,england-wales,03596292,False,1998-07-10,False,,False,1c62663652f26c980bd7d7020e0a0f2504e7146a,True,active,"[{'ceased_on': '1998-10-23', 'name': 'OVAL (1332) LIMITED', 'effective_from': '1998-07-10'}]","{'overdue': False, 'last_made_up_to': '2023-06-28', 'next_made_up_to': '2024-06-28', 'next_due': '2024-07-12'}","{'self': '/company/03596292', 'filing_history': '/company/03596292/filing-history', 'officers': '/company/03596292/officers', 'charges': '/company/03596292/charges', 'persons_with_significant_control': '/company/03596292/persons-with-significant-control'}",False,False,True,,,
"['01240', '01630', '11010', '11030']",ltd,"{'locality': 'Market Rasen', 'region': 'Lincolnshire', 'address_line_1': 'Binbrook Hill Farm Binbrook Hill', 'address_line_2': 'Binbrook', 'postal_code': 'LN8 6BL'}",2016-02-20,"{'accounting_reference_date': {'month': '06', 'day': '30'}, 'last_accounts': {'made_up_to': '2018-06-30', 'type': 'dormant', 'period_end_on': '2018-06-30'}}",DAMSONS IN DISTRESS LIMITED,england-wales,06825692,False,2009-02-20,False,active,False,95a3ad88d4c00b2585caf5625bc2e828c2fa2894,False,dissolved,,,"{'self': '/company/06825692', 'filing_history': '/company/06825692/filing-history', 'officers': '/company/06825692/officers', 'persons_with_significant_control': '/company/06825692/persons-with-significant-control'}",False,,False,2020-09-29,,
"['11030', '47110']",ltd,"{'postal_code': 'BA2 7BB', 'address_line_2': 'Claverton', 'address_line_1': 'Orchard Fields', 'locality': 'Bath', 'country': 'England'}",2016-03-04,"{'accounting_reference_date': {'month': '03', 'day': '31'}, 'overdue': False, 'last_accounts': {'type': 'total-exemption-full', 'made_up_to': '2022-03-31', 'period_start_on': '2021-04-01', 'period_end_on': '2022-03-31'}, 'next_made_up_to': '2023-03-31', 'next_accounts': {'overdue': False, 'period_start_on': '2022-04-01', 'period_end_on': '2023-03-31', 'due_on': '2023-12-31'}, 'next_due': '2023-12-31'}",BROADLANDS CIDER FARM LIMITED,england-wales,06836616,False,2009-03-04,False,active,False,f560d94f3040da4180cbf2b8986950754e80ec91,False,active,,"{'next_made_up_to': '2024-03-04', 'last_made_up_to': '2023-03-04', 'next_due': '2024-03-18', 'overdue': False}","{'self': '/company/06836616', 'filing_history': '/company/06836616/filing-history', 'officers': '/company/06836616/officers', 'persons_with_significant_control': '/company/06836616/persons-with-significant-control'}",False,False,True,,,
"['01500', '11030', '45200', '86220']",ltd,"{'address_line_2': 'Leathley Lane Leathley', 'address_line_1': 'The Manor House', 'region': 'West Yorkshire', 'postal_code': 'LS21 2JU', 'locality': 'Otley'}",2016-02-15,"{'last_accounts': {'period_end_on': '2023-03-31', 'period_start_on': '2022-04-01', 'made_up_to': '2023-03-31', 'type': 'micro-entity'}, 'accounting_reference_date': {'day': '31', 'month': '03'}, 'next_due': '2024-12-31', 'next_accounts': {'period_start_on': '2023-04-01', 'due_on': '2024-12-31', 'overdue': False, 'period_end_on': '2024-03-31'}, 'overdue': False, 'next_made_up_to': '2024-03-31'}",MEDLAR MANAGEMENT LIMITED,england-wales,07158046,False,2010-02-15,False,active,False,db127a1998bbdddf8a7f24383da038653659eec9,False,active,,"{'last_made_up_to': '2023-02-15', 'next_made_up_to': '2024-02-15', 'overdue': False, 'next_due': '2024-02-29'}","{'self': '/company/07158046', 'filing_history': '/company/07158046/filing-history', 'officers': '/company/07158046/officers', 'persons_with_significant_control': '/company/07158046/persons-with-significant-control'}",False,False,True,,,
['11030'],ltd,"{'country': 'England', 'address_line_1': 'Murrills House 48 East Street', 'postal_code': 'PO16 9XS', 'address_line_2': 'Portchester', 'region': 'Hampshire', 'locality': 'Fareham'}",2016-03-23,"{'next_accounts': {'due_on': '2023-12-31', 'period_end_on': '2023-03-31', 'period_start_on': '2022-04-01', 'overdue': False}, 'next_made_up_to': '2023-03-31', 'overdue': False, 'accounting_reference_date': {'month': '03', 'day': '31'}, 'next_due': '2023-12-31', 'last_accounts': {'type': 'total-exemption-full', 'period_start_on': '2021-04-01', 'period_end_on': '2022-03-31', 'made_up_to': '2022-03-31'}}",NEW FOREST CIDER LIMITED,england-wales,07199314,False,2010-03-23,False,active,False,547181fb7d8aa3f9bc89802d64a242799fc38e01,True,active,,"{'overdue': False, 'next_made_up_to': '2024-03-23', 'last_made_up_to': '2023-03-23', 'next_due': '2024-04-06'}","{'self': '/company/07199314', 'filing_history': '/company/07199314/filing-history', 'officers': '/company/07199314/officers', 'charges': '/company/07199314/charges', 'persons_with_significant_control_statements': '/company/07199314/persons-with-significant-control-statements'}",False,False,True,,,
['11030'],ltd,"{'address_line_2': 'Solland Lane', 'postal_code': 'EX20 3QT', 'region': 'Devon', 'address_line_1': 'Solland Farm', 'locality': 'Sampford Courtenay'}",2015-09-24,"{'last_accounts': {'period_end_on': '2016-09-30', 'type': 'micro-entity', 'made_up_to': '2016-09-30'}, 'accounting_reference_date': {'month': '09', 'day': '30'}}",SAMPFORD COURTENAY CIDER AND ENGLISH WINE COMPANY LIMITED,england-wales,07029615,False,2009-09-24,False,active-proposal-to-strike-off,False,3ae458e39ef34e263d5a102a3371637a5b946183,False,dissolved,,,"{'self': '/company/07029615', 'filing_history': '/company/07029615/filing-history', 'officers': '/company/07029615/officers', 'persons_with_significant_control_statements': '/company/07029615/persons-with-significant-control-statements'}",False,False,False,2020-11-17,,
['11030'],ltd,"{'postal_code': 'DY11 7RA', 'address_line_1': 'Europa Building Arthur Drive', 'region': 'Worcestershire', 'locality': 'Kidderminster', 'address_line_2': 'Hoo Farm Industrial Estate'}",2014-10-28,"{'accounting_reference_date': {'day': '31', 'month': '10'}, 'last_accounts': {'type': 'dormant', 'made_up_to': '2013-10-31'}}",SEVERN VALLEY CIDER LIMITED,england-wales,07059740,False,2009-10-28,False,active,False,b02a03ad7b67e7506b396ed973ced70e8bb8c653,False,dissolved,,,"{'self': '/company/07059740', 'filing_history': '/company/07059740/filing-history', 'officers': '/company/07059740/officers'}",,,False,2016-02-02,{'last_made_up_to': '2014-10-28'},
['11030'],ltd,"{'address_line_1': '2 Wyevale Business Park Wyevale Way', 'address_line_2': 'Stretton Sugwas', 'locality': 'Hereford', 'country': 'England', 'postal_code': 'HR4 7BS'}",2015-10-12,"{'accounting_reference_date': {'month': '01', 'day': '31'}, 'last_accounts': {'type': 'total-exemption-small', 'period_end_on': '2015-01-31', 'made_up_to': '2015-01-31'}}",HEREFORDSHIRE HANDMADE LIMITED,england-wales,07037731,False,2009-10-12,False,,False,607af5723bff2b2366b5065c69a9e7f10a007211,False,dissolved,,,"{'self': '/company/07037731', 'filing_history': '/company/07037731/filing-history', 'officers': '/company/07037731/officers', 'persons_with_significant_control': '/company/07037731/persons-with-significant-control'}",False,,False,2017-10-17,,
['11030'],ltd,"{'region': 'Wiltshire', 'address_line_1': 'The Rafters Manor Farm', 'postal_code': 'SP5 4AS', 'locality': 'Salsibury', 'address_line_2': 'Bishopstone'}",2015-10-14,"{'last_accounts': {'period_end_on': '2022-08-31', 'type': 'total-exemption-full', 'made_up_to': '2022-08-31'}, 'accounting_reference_date': {'month': '08', 'day': '31'}}",WESSEX CIDER LIMITED,england-wales,07041422,False,2009-10-14,False,active,False,5236189da3a0d4f6b965661454f1ea3ce68cc601,False,dissolved,,,"{'self': '/company/07041422', 'filing_history': '/company/07041422/filing-history', 'officers': '/company/07041422/officers', 'persons_with_significant_control': '/company/07041422/persons-with-significant-control'}",False,False,False,2023-10-24,,
['11030'],ltd,"{'address_line_2': 'Washford', 'postal_code': 'TA23 0LA', 'locality': 'Watchet', 'country': 'England', 'address_line_1': 'Torre Cider Farm Torre'}",2016-02-15,"{'next_accounts': {'period_end_on': '2023-12-31', 'due_on': '2024-09-30', 'overdue': False, 'period_start_on': '2023-01-01'}, 'accounting_reference_date': {'day': '31', 'month': '12'}, 'overdue': False, 'last_accounts': {'made_up_to': '2022-12-31', 'type': 'total-exemption-full', 'period_end_on': '2022-12-31', 'period_start_on': '2022-01-01'}, 'next_due': '2024-09-30', 'next_made_up_to': '2023-12-31'}",TORRE CIDER CO LTD,england-wales,09692785,,2015-07-20,False,,False,40f3ab65b5b052e9133a4e7b56942f00ae79ede0,False,active,"[{'ceased_on': '2016-03-22', 'effective_from': '2016-01-27', 'name': 'TORRE CIDER FARM LIMITED'}, {'name': 'WARDCLOUD LIMITED', 'ceased_on': '2016-01-27', 'effective_from': '2015-07-20'}]","{'last_made_up_to': '2023-02-15', 'overdue': False, 'next_due': '2024-02-29', 'next_made_up_to': '2024-02-15'}","{'self': '/company/09692785', 'filing_history': '/company/09692785/filing-history', 'officers': '/company/09692785/officers', 'persons_with_significant_control': '/company/09692785/persons-with-significant-control'}",False,False,True,,,
['11030'],ltd,"{'country': 'England', 'address_line_2': 'Stow On The Wold', 'locality': 'Cheltenham', 'postal_code': 'GL54 1EQ', 'address_line_1': ""Monarch's Way House Well Lane"", 'region': 'Glos'}",,"{'next_accounts': {'period_end_on': '2023-09-30', 'due_on': '2024-06-30', 'period_start_on': '2022-10-01', 'overdue': False}, 'accounting_reference_date': {'day': '30', 'month': '09'}, 'next_made_up_to': '2023-09-30', 'last_accounts': {'period_end_on': '2022-09-30', 'made_up_to': '2022-09-30', 'period_start_on': '2021-10-01', 'type': 'micro-entity'}, 'overdue': False, 'next_due': '2024-06-30'}",CHALICE MEAD LIMITED,england-wales,09758941,,2015-09-02,False,,False,c688df9e051a37fa6ba45f3b4efc74dc3ed8fd80,False,active,,"{'last_made_up_to': '2023-09-01', 'next_due': '2024-09-15', 'overdue': False, 'next_made_up_to': '2024-09-01'}","{'self': '/company/09758941', 'filing_history': '/company/09758941/filing-history', 'officers': '/company/09758941/officers', 'persons_with_significant_control': '/company/09758941/persons-with-significant-control'}",False,False,True,,,
['11030'],ltd,"{'locality': 'London', 'address_line_2': 'Armitage Road', 'address_line_1': 'Olympia House', 'postal_code': 'NW11 8RQ'}",2016-04-30,"{'last_accounts': {'period_end_on': '2017-04-30', 'made_up_to': '2017-04-30'}, 'accounting_reference_date': {'month': '04', 'day': '30'}}",THE ORIGINAL SOMERSET CIDER COMPANY LIMITED,england-wales,08510236,False,2013-04-30,False,active,True,bfd6305cbf16039af605c30d215718db63321b37,True,dissolved,"[{'ceased_on': '2013-08-05', 'name': 'CT DIRECT LIMITED', 'effective_from': '2013-04-30'}]",,"{'self': '/company/08510236', 'filing_history': '/company/08510236/filing-history', 'officers': '/company/08510236/officers', 'charges': '/company/08510236/charges', 'persons_with_significant_control': '/company/08510236/persons-with-significant-control', 'insolvency': '/company/08510236/insolvency'}",False,,False,2020-04-30,,
['11030'],ltd,"{'country': 'England', 'postal_code': 'NN16 8NQ', 'locality': 'Kettering', 'address_line_2': 'Bath Road', 'region': 'Northants', 'address_line_1': 'Timsons Business Centre'}",2016-05-30,"{'next_accounts': {'period_start_on': '2023-01-01', 'overdue': False, 'due_on': '2024-09-30', 'period_end_on': '2023-12-31'}, 'next_due': '2024-09-30', 'overdue': False, 'next_made_up_to': '2023-12-31', 'last_accounts': {'period_end_on': '2022-12-31', 'type': 'total-exemption-full', 'period_start_on': '2022-01-01', 'made_up_to': '2022-12-31'}, 'accounting_reference_date': {'month': '12', 'day': '31'}}",SAXBY FARMS LIMITED,england-wales,08548627,False,2013-05-30,False,active,False,052fc23be4f56738f1aee9d1d7a7638bf5e95afb,False,active,,"{'last_made_up_to': '2023-03-14', 'overdue': False, 'next_made_up_to': '2024-03-14', 'next_due': '2024-03-28'}","{'self': '/company/08548627', 'filing_history': '/company/08548627/filing-history', 'officers': '/company/08548627/officers', 'persons_with_significant_control': '/company/08548627/persons-with-significant-control'}",False,False,True,,,
"['11020', '11030']",ltd,"{'locality': 'Winchester', 'postal_code': 'SO23 9SR', 'address_line_1': '9 Christchurch Road'}",2016-06-20,"{'last_accounts': {'period_start_on': '2021-07-01', 'made_up_to': '2022-06-30', 'type': 'micro-entity', 'period_end_on': '2022-06-30'}, 'next_due': '2024-03-31', 'next_accounts': {'period_start_on': '2022-07-01', 'due_on': '2024-03-31', 'overdue': False, 'period_end_on': '2023-06-30'}, 'accounting_reference_date': {'month': '06', 'day': '30'}, 'next_made_up_to': '2023-06-30', 'overdue': False}",HAMPSHIRE DOWNS FINE CIDER COMPANY LTD,england-wales,08577353,False,2013-06-20,False,active,False,4df2727465d94f886aabbeba846ea0ddbc7e3691,False,active,,"{'next_due': '2024-06-24', 'next_made_up_to': '2024-06-10', 'overdue': False, 'last_made_up_to': '2023-06-10'}","{'self': '/company/08577353', 'filing_history': '/company/08577353/filing-history', 'officers': '/company/08577353/officers', 'persons_with_significant_control': '/company/08577353/persons-with-significant-control'}",False,False,True,,,
['11030'],ltd,"{'address_line_1': 'The Old Kennels Farm', 'postal_code': 'HR8 1LG', 'region': 'Herefordshire', 'address_line_2': 'Bromyard Road', 'locality': 'Ledbury'}",2015-09-17,"{'next_due': '2023-12-31', 'accounting_reference_date': {'month': '03', 'day': '31'}, 'next_accounts': {'due_on': '2023-12-31', 'period_start_on': '2022-04-01', 'period_end_on': '2023-03-31', 'overdue': False}, 'next_made_up_to': '2023-03-31', 'overdue': False, 'last_accounts': {'period_end_on': '2022-03-31', 'period_start_on': '2021-04-01', 'type': 'total-exemption-full', 'made_up_to': '2022-03-31'}}",THE LEDBURY CIDER AND JUICE CO. LIMITED,england-wales,08694489,False,2013-09-17,False,active,False,8efcdf7c32398b0fe0991f2dc14d3e374465cf4d,True,active,,"{'last_made_up_to': '2023-09-17', 'next_made_up_to': '2024-09-17', 'overdue': False, 'next_due': '2024-10-01'}","{'self': '/company/08694489', 'filing_history': '/company/08694489/filing-history', 'officers': '/company/08694489/officers', 'charges': '/company/08694489/charges', 'persons_with_significant_control': '/company/08694489/persons-with-significant-control'}",False,False,True,,,
['11030'],ltd,"{'address_line_1': 'Norton Barton Farm', 'postal_code': 'EX23 9LG', 'locality': 'Bude', 'region': 'Cornwall', 'address_line_2': 'Launcells'}",2016-05-22,"{'next_made_up_to': '2023-09-30', 'last_accounts': {'period_start_on': '2021-10-01', 'made_up_to': '2022-09-30', 'type': 'total-exemption-full', 'period_end_on': '2022-09-30'}, 'overdue': False, 'next_due': '2024-06-30', 'next_accounts': {'due_on': '2024-06-30', 'overdue': False, 'period_end_on': '2023-09-30', 'period_start_on': '2022-10-01'}, 'accounting_reference_date': {'month': '09', 'day': '30'}}",NORTH COAST CIDER COMPANY LIMITED,england-wales,08710743,False,2013-09-30,False,active,False,e3968bc01323d2f5e08fd8086b84cf11524adff9,False,active,,"{'overdue': False, 'next_due': '2024-04-10', 'last_made_up_to': '2023-03-27', 'next_made_up_to': '2024-03-27'}","{'self': '/company/08710743', 'filing_history': '/company/08710743/filing-history', 'officers': '/company/08710743/officers', 'persons_with_significant_control': '/company/08710743/persons-with-significant-control'}",False,False,True,,,
['11030'],ltd,"{'address_line_1': '19 York Place', 'region': 'Worcestershire', 'locality': 'Worcester', 'postal_code': 'WR1 3DR'}",2015-10-01,"{'accounting_reference_date': {'month': '03', 'day': '31'}, 'last_accounts': {'made_up_to': '2020-03-31', 'type': 'dormant', 'period_end_on': '2020-03-31'}}",BARBOURNE PERRY LIMITED,england-wales,08712084,False,2013-10-01,False,active,False,84f7a4161ea3faafda845951c023b01c271b6c86,False,dissolved,,,"{'self': '/company/08712084', 'filing_history': '/company/08712084/filing-history', 'officers': '/company/08712084/officers', 'persons_with_significant_control': '/company/08712084/persons-with-significant-control'}",False,False,False,2022-01-11,,
['11030'],ltd,"{'locality': 'Gunnislake', 'region': 'Cornwall', 'address_line_2': 'Latchley', 'postal_code': 'PL18 9AX', 'country': 'United Kingdom', 'address_line_1': 'April Sunset April Sunset'}",2015-10-22,"{'next_accounts': {'overdue': False, 'due_on': '2025-04-30', 'period_end_on': '2024-07-31', 'period_start_on': '2023-02-01'}, 'next_made_up_to': '2024-07-31', 'last_accounts': {'period_end_on': '2023-01-31', 'period_start_on': '2022-02-01', 'made_up_to': '2023-01-31', 'type': 'micro-entity'}, 'accounting_reference_date': {'month': '07', 'day': '31'}, 'overdue': False, 'next_due': '2025-04-30'}",CORNWALL CIDER CO. LIMITED,england-wales,08743140,False,2013-10-22,False,active,False,ed7ae60243be47c0acc994fe8ce35f6ad9b5500e,False,active,,"{'next_due': '2024-06-03', 'overdue': False, 'next_made_up_to': '2024-05-20', 'last_made_up_to': '2023-05-20'}","{'self': '/company/08743140', 'filing_history': '/company/08743140/filing-history', 'officers': '/company/08743140/officers', 'persons_with_significant_control': '/company/08743140/persons-with-significant-control', 'registers': '/company/08743140/registers'}",False,False,True,,,
['11030'],ltd,"{'address_line_1': 'Windover The Street', 'locality': 'Polegate', 'region': 'East Sussex', 'country': 'England', 'postal_code': 'BN26 6TY', 'address_line_2': 'Selmeston'}",2016-04-03,"{'last_accounts': {'type': 'micro-entity', 'made_up_to': '2018-04-30', 'period_end_on': '2018-04-30'}, 'accounting_reference_date': {'month': '04', 'day': '30'}}",THE SUSSEX SOUTH DOWNS COMPANY LTD,england-wales,08977019,False,2014-04-03,False,active,False,f876c9d2837c5d8a67eb2f78e4d237a832ed57c3,False,dissolved,,,"{'self': '/company/08977019', 'filing_history': '/company/08977019/filing-history', 'officers': '/company/08977019/officers', 'persons_with_significant_control': '/company/08977019/persons-with-significant-control'}",False,,False,2020-01-28,,
"['01240', '01460', '11030', '62090']",ltd,"{'region': 'Cheshire', 'address_line_1': '62 Well Street', 'locality': 'Malpas', 'postal_code': 'SY14 8QH'}",2016-06-19,"{'next_made_up_to': '2023-06-30', 'last_accounts': {'made_up_to': '2022-06-30', 'period_start_on': '2021-07-01', 'period_end_on': '2022-06-30', 'type': 'micro-entity'}, 'next_due': '2024-03-31', 'overdue': False, 'accounting_reference_date': {'month': '06', 'day': '30'}, 'next_accounts': {'period_start_on': '2022-07-01', 'overdue': False, 'due_on': '2024-03-31', 'period_end_on': '2023-06-30'}}",OLD CHADS ORCHARD LTD,england-wales,09093644,False,2014-06-19,False,,False,6ac4501fb5662498b70ec758cefe9fa3fc5fe0f7,False,active,,"{'last_made_up_to': '2023-06-19', 'next_made_up_to': '2024-06-19', 'overdue': False, 'next_due': '2024-07-03'}","{'self': '/company/09093644', 'filing_history': '/company/09093644/filing-history', 'officers': '/company/09093644/officers', 'persons_with_significant_control': '/company/09093644/persons-with-significant-control'}",False,False,True,,,
"['11030', '11040', '11050', '11070']",ltd,"{'locality': 'Warrington', 'address_line_2': 'Burtonwood', 'postal_code': 'WA5 4TH', 'region': 'Cheshire', 'address_line_1': 'Bold Lane'}",2016-06-28,"{'next_made_up_to': '2023-09-30', 'next_due': '2024-06-30', 'last_accounts': {'made_up_to': '2022-09-30', 'period_end_on': '2022-09-30', 'type': 'full', 'period_start_on': '2021-10-01'}, 'accounting_reference_date': {'day': '30', 'month': '09'}, 'overdue': False, 'next_accounts': {'overdue': False, 'period_end_on': '2023-09-30', 'period_start_on': '2022-10-01', 'due_on': '2024-06-30'}}",THOMAS HARDY BURTONWOOD LIMITED,england-wales,03596292,False,1998-07-10,False,,False,1c62663652f26c980bd7d7020e0a0f2504e7146a,True,active,"[{'ceased_on': '1998-10-23', 'name': 'OVAL (1332) LIMITED', 'effective_from': '1998-07-10'}]","{'overdue': False, 'last_made_up_to': '2023-06-28', 'next_made_up_to': '2024-06-28', 'next_due': '2024-07-12'}","{'self': '/company/03596292', 'filing_history': '/company/03596292/filing-history', 'officers': '/company/03596292/officers', 'charges': '/company/03596292/charges', 'persons_with_significant_control': '/company/03596292/persons-with-significant-control'}",False,False,True,,,
